random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
,,,v,1,,0,38,38,76,1,cmp_shelves_042_toys_001,S4_shelves_042_toys_001.jpg,0,blank.png,blank.png,bus30.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,0.960235
,,,m,1,,0,39,39,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.82724
,,,m,0,,0,40,40,110,1,cmp_mountain_016_sheep_004,S8_mountain_016_sheep_004.jpg,0,blank.png,blank.png,sheep1420.png,sheep1560.png,sheep1768.png,sheep1774.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.89783
,,,m,0,,0,41,41,55,1,cmp_shelves_050_toys_009,S4_shelves_050_toys_009.jpg,0,blank.png,blank.png,airplane359.png,bus23.png,bus17.png,airplane364.png,airplane413.png,motorcycle306.png,airplane379.png,motorcycle660.png,0,4,8,8,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.55522
,,,m,1,,0,42,42,64,1,cmp_stadium_001_person_001,S4_stadium_001_person_001.jpg,1,stadium_001_person_010.png,stadium_001_person_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.771245
,,,v,1,,0,43,43,51,1,cmp_shelves_023_teddybear_004,S4_shelves_023_teddybear_004.jpg,0,blank.png,blank.png,teddy bear487.png,teddy bear517.png,teddy bear521.png,teddy bear555.png,teddy bear637.png,teddy bear762.png,teddy bear725.png,teddy bear755.png,1,4,8,8,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.87723
,,,v,1,,0,44,44,54,1,cmp_shelves_036_book_009,S4_shelves_036_book_009.jpg,0,blank.png,blank.png,book670.png,book778.png,book672.png,book674.png,book694.png,book660.png,book656.png,book688.png,0,4,8,8,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.12907
,,,m,1,,0,45,45,71,1,cmp_building_019_cat_006,S4_building_019_cat_006.jpg,1,cat997.png,cat997.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,0.92823
,,,m,1,,0,46,46,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.3337
,,,m,1,,0,47,47,35,1,cmp_building_021_cat_008,S4_building_021_cat_008.jpg,1,cat1953.png,cat1953.png,cat1966.png,cat1835.png,cat1921.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.31178
