random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate
,,,v,0,1.17203,,0,88,88,7,1,cmp_shelves_028_book_001,S1_shelves_028_book_001.jpg,1,book624.png,book624.png,book349.png,book368.png,book392.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,0.775895,,0,89,89,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,0.85271,,0,90,90,59,1,cmp_field_004_farmanimals_004,S4_field_004_farmanimals_004.jpg,1,horse205.png,horse205.png,horse7.png,sheep103.png,sheep106.png,cow69.png,cow232.png,cow15.png,sheep3.png,blank.png,1,4,8,8,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,1.02966,,0,91,91,81,1,cmp_shelves_053_toys_012,S4_shelves_053_toys_012.jpg,1,motorcycle509.png,motorcycle509.png,airplane136.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.117995,,0,92,92,111,1,cmp_shelves_009_teddybear_002,S8_shelves_009_teddybear_002.jpg,0,blank.png,blank.png,teddy bear107.png,teddy bear123.png,teddy bear226.png,teddy bear241.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.5736,,0,93,93,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,0.67364,,0,94,94,71,1,cmp_building_019_cat_006,S4_building_019_cat_006.jpg,1,cat997.png,cat997.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.68691,,0,95,95,30,1,cmp_mountain_010_sheep_002,S2_mountain_010_sheep_002.jpg,0,blank.png,blank.png,sheep1280.png,sheep1344.png,sheep1652.png,sheep1275.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.679915,,0,96,96,74,1,cmp_shelves_033_book_006,S4_shelves_033_book_006.jpg,0,blank.png,blank.png,book119.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,0,2.42011,,0,97,97,31,1,cmp_mountain_024_cow_004,S2_mountain_024_cow_004.jpg,0,blank.png,blank.png,cow289.png,cow337.png,cow306.png,cow452.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.002915,,0,98,98,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,3.503655,,0,99,99,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,0.55577,,0,100,100,55,1,cmp_shelves_050_toys_009,S4_shelves_050_toys_009.jpg,0,blank.png,blank.png,airplane359.png,bus23.png,bus17.png,airplane364.png,airplane413.png,motorcycle306.png,airplane379.png,motorcycle660.png,0,4,8,8,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
