random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_2.rt,key_resp_end.keys,key_resp_end.rt
,,,,,v,0,4.394,,0,96,96,58,1,cmp_jungle_007_bird_007,S4_jungle_007_bird_007.jpg,1,bird207.png,bird207.png,bird195.png,bird232.png,bird242.png,bird246.png,bird278.png,bird294.png,bird310.png,blank.png,1,4,8,8,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,3.906,,0,97,97,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.927,,0,98,98,43,1,cmp_mountain_020_sheep_008,S4_mountain_020_sheep_008.jpg,0,blank.png,blank.png,sheep474.png,sheep356.png,sheep455.png,sheep483.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,4.57,space,0,99,99,40,1,cmp_mountain_003_cow_001,S4_mountain_003_cow_001.jpg,0,blank.png,blank.png,cow77.png,cow241.png,cow192.png,cow256.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.456,,
,,,,,p,0,3.226,space,0,100,100,30,1,cmp_mountain_010_sheep_002,S2_mountain_010_sheep_002.jpg,0,blank.png,blank.png,sheep1280.png,sheep1344.png,sheep1652.png,sheep1275.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.387,,
,,,,,v,1,5.344,,0,101,101,108,1,cmp_africansavanna_002_wildanimals_002,S8_africansavanna_002_wildanimals_002.jpg,0,blank.png,blank.png,elephant231.png,elephant458.png,giraffe141.png,giraffe352.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,2.691,,0,102,102,87,1,cmp_mountain_026_horse_001,S4_mountain_026_horse_001.jpg,1,horse815.png,horse815.png,horse1010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,3.744,,0,103,103,23,1,cmp_mountain_009_horse _001,S2_mountain_009_horse _001.jpg,0,blank.png,blank.png,horse1643.png,horse1105.png,horse1725.png,horse1447.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,1.794,,0,104,104,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.721,,0,105,105,25,1,cmp_mountain_004_sheep_001,S2_mountain_004_sheep_001.jpg,0,blank.png,blank.png,sheep662.png,sheep796.png,sheep858.png,sheep875.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.168,,0,106,106,94,1,cmp_mountain_014_bird_002,S4_mountain_014_bird_002.jpg,0,blank.png,blank.png,bird27.png,bird456.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,2.919,,0,107,107,34,1,cmp_building_001_dog_001,S4_building_001_dog_001.jpg,1,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_006.png,stm_builging_001_dog_001_012.png,stm_builging_001_dog_001_015.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,2.926,,0,108,108,67,1,cmp_field_008_farmanimals_008,S4_field_008_farmanimals_008.jpg,1,sheep913.png,sheep913.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,3.598,,0,109,109,90,1,cmp_building_032_cat_011,S4_building_032_cat_011.jpg,0,blank.png,blank.png,cat206.png,cat219.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,2.358,,0,110,110,81,1,cmp_shelves_053_toys_012,S4_shelves_053_toys_012.jpg,1,motorcycle509.png,motorcycle509.png,airplane136.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,4.7,,0,111,111,82,1,cmp_building_049_bird_005,S4_building_049_bird_005.jpg,1,bird1082.png,bird1082.png,bird1040.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,x,165.231
