trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
36,different,4,0.41,0.27,magenta,1,0.27,-0.14,orange,1,-0.41,-0.41,yellow,1,-0.14,0.14,blue,1,0.14,0.41,green,0,0.27,-0.27,black,0,-0.41,-0.27,white,0,-0.41,0.41,red,0,0.05,0.05,0.15,0.27,-0.14,black,l,1.0,1.0,1.0,0.0,'l',1.0337613821029663,1.0337613821029663,0.0,71.0
37,different,4,0.41,0.41,yellow,1,0.27,-0.14,black,1,-0.14,-0.14,orange,1,-0.41,0.14,green,1,0.14,0.14,white,0,0.27,-0.41,blue,0,-0.14,-0.27,magenta,0,-0.14,0.14,red,0,0.05,0.05,0.15,0.41,0.41,red,l,1.0,1.0,1.0,0.0,'l',1.200368881225586,1.200368881225586,0.0,6.0
38,different,4,0.27,0.27,black,1,0.14,-0.27,green,1,-0.14,-0.27,magenta,1,-0.41,0.14,blue,1,0.14,0.41,orange,0,0.27,-0.41,yellow,0,-0.41,-0.14,white,0,-0.27,0.41,red,0,0.05,0.05,0.15,-0.14,-0.27,orange,l,1.0,1.0,1.0,0.0,'l',1.1524956226348877,1.1524956226348877,0.0,93.0
39,different,4,0.41,0.27,green,1,0.41,-0.27,yellow,1,-0.27,-0.27,orange,1,-0.14,0.14,white,1,0.14,0.14,magenta,0,0.27,-0.41,blue,0,-0.14,-0.27,red,0,-0.41,0.27,black,0,0.05,0.05,0.15,-0.14,0.14,green,l,1.0,1.0,1.0,0.0,'l',1.1341150999069214,1.1341150999069214,0.0,25.0
40,different,4,0.41,0.41,magenta,1,0.41,-0.27,white,1,-0.27,-0.41,yellow,1,-0.14,0.41,black,1,0.27,0.27,blue,0,0.41,-0.41,green,0,-0.14,-0.27,red,0,-0.27,0.27,orange,0,0.05,0.05,0.15,-0.27,-0.41,orange,l,1.0,1.0,1.0,0.0,'l',1.4344077110290527,1.4344077110290527,0.0,57.0
41,different,4,0.41,0.41,green,1,0.27,-0.41,orange,1,-0.27,-0.41,black,1,-0.27,0.41,magenta,1,0.14,0.41,white,0,0.41,-0.27,blue,0,-0.14,-0.27,red,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,-0.27,-0.41,white,l,1.0,1.0,1.0,0.0,'l',0.8504506349563599,0.8504506349563599,0.0,86.0
42,different,4,0.41,0.41,green,1,0.14,-0.14,red,1,-0.27,-0.14,white,1,-0.27,0.27,blue,1,0.27,0.27,orange,0,0.14,-0.27,black,0,-0.27,-0.41,yellow,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,-0.27,0.27,red,l,1.0,1.0,1.0,0.0,'l',0.8512816429138184,0.8512816429138184,0.0,81.0
43,different,4,0.27,0.27,red,1,0.14,-0.27,orange,1,-0.41,-0.14,green,1,-0.27,0.27,white,1,0.41,0.41,black,0,0.27,-0.14,magenta,0,-0.41,-0.41,yellow,0,-0.41,0.41,blue,0,0.05,0.05,0.15,-0.41,-0.14,magenta,l,1.0,1.0,1.0,0.0,'l',1.1655614376068115,1.1655614376068115,0.0,82.0
44,different,4,0.27,0.27,black,1,0.41,-0.14,red,1,-0.41,-0.27,magenta,1,-0.14,0.14,green,1,0.41,0.41,white,0,0.14,-0.14,yellow,0,-0.27,-0.41,blue,0,-0.27,0.14,orange,0,0.05,0.05,0.15,0.41,-0.14,magenta,l,1.0,1.0,1.0,0.0,'l',0.7668412327766418,0.7668412327766418,0.0,87.0
45,different,4,0.14,0.14,red,1,0.27,-0.27,black,1,-0.41,-0.27,white,1,-0.41,0.27,blue,1,0.27,0.27,magenta,0,0.14,-0.41,orange,0,-0.14,-0.14,green,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,0.14,0.14,blue,l,1.0,1.0,1.0,0.0,'l',0.8011272549629211,0.8011272549629211,0.0,61.0
